[t=0000] #001 | Создано         | Mem:  5 | CPU: 12 | Queue:   0 | Время: 0
[t=0211] #024 | Переключение    | Mem:  2 | CPU: 11 | Queue:  38 | Продолжено после ожидания=38
[t=0214] #024 | Вытеснено       | Mem:  2 | CPU:  8 | Queue:  38 | Квант завершен, 8 осталось выполнить
[t=0215] #009 | Переключение    | Mem:  1 | CPU:  7 | Queue: 143 | Продолжено после ожидания=39
[t=0218] #009 | Вытеснено       | Mem:  1 | CPU:  4 | Queue: 143 | Квант завершен, 4 осталось выполнить
[t=0219] #019 | Переключение    | Mem: 11 | CPU: 10 | Queue:  70 | Продолжено после ожидания=40
[t=0222] #019 | Вытеснено       | Mem: 11 | CPU:  7 | Queue:  70 | Квант завершен, 7 осталось выполнить
[t=0223] #015 | Переключение    | Mem: 34 | CPU:  1 | Queue: 121 | Продолжено после ожидания=41
[t=0224] #015 | Завершено       | Mem: 34 | CPU:  0 | Queue: 121 | Общее время в очереди=121, освобождено 34 памяти
[t=0225] #020 | Переключение    | Mem:  2 | CPU:  7 | Queue:  73 | Продолжено после ожидания=40
[t=0228] #020 | Вытеснено       | Mem:  2 | CPU:  4 | Queue:  73 | Квант завершен, 4 осталось выполнить
[t=0229] #012 | Переключение    | Mem:  8 | CPU:  7 | Queue: 137 | Продолжено после ожидания=41
[t=0232] #012 | Вытеснено       | Mem:  8 | CPU:  4 | Queue: 137 | Квант завершен, 4 осталось выполнить
[t=0233] #021 | Переключение    | Mem:  1 | CPU:  7 | Queue:  78 | Продолжено после ожидания=42
[t=0236] #021 | Вытеснено       | Mem:  1 | CPU:  4 | Queue:  78 | Квант завершен, 4 осталось выполнить
[t=0237] #016 | Переключение    | Mem:  1 | CPU:  3 | Queue: 132 | Продолжено после ожидания=43
[t=0240] #016 | Завершено       | Mem:  1 | CPU:  0 | Queue: 132 | Общее время в очереди=132, освобождено 1 памяти
[t=0241] #022 | Переключение    | Mem: 10 | CPU: 14 | Queue:  83 | Продолжено после ожидания=44
[t=0244] #022 | Вытеснено       | Mem: 10 | CPU: 11 | Queue:  83 | Квант завершен, 11 осталось выполнить
[t=0245] #017 | Переключение    | Mem:  1 | CPU:  8 | Queue: 137 | Продолжено после ожидания=44
[t=0248] #017 | Вытеснено       | Mem:  1 | CPU:  5 | Queue: 137 | Квант завершен, 5 осталось выполнить
[t=0249] #018 | Переключение    | Mem:  3 | CPU:  4 | Queue: 138 | Продолжено после ожидания=43
[t=0252] #018 | Вытеснено       | Mem:  3 | CPU:  1 | Queue: 138 | Квант завершен, 1 осталось выполнить
[t=0253] #023 | Переключение    | Mem:  8 | CPU: 11 | Queue:  80 | Продолжено после ожидания=44
[t=0256] #023 | Вытеснено       | Mem:  8 | CPU:  8 | Queue:  80 | Квант завершен, 8 осталось выполнить
[t=0257] #025 | Переключение    | Mem: 15 | CPU: 10 | Queue:  46 | Продолжено после ожидания=46
[t=0260] #025 | Вытеснено       | Mem: 15 | CPU:  7 | Queue:  46 | Квант завершен, 7 осталось выполнить
[t=0261] #024 | Переключение    | Mem:  2 | CPU:  8 | Queue:  85 | Продолжено после ожидания=47
[t=0264] #024 | Вытеснено       | Mem:  2 | CPU:  5 | Queue:  85 | Квант завершен, 5 осталось выполнить
[t=0265] #009 | Переключение    | Mem:  1 | CPU:  4 | Queue: 190 | Продолжено после ожидания=47
[t=0268] #009 | Вытеснено       | Mem:  1 | CPU:  1 | Queue: 190 | Квант завершен, 1 осталось выполнить
[t=0269] #019 | Переключение    | Mem: 11 | CPU:  7 | Queue: 117 | Продолжено после ожидания=47
[t=0272] #019 | Вытеснено       | Mem: 11 | CPU:  4 | Queue: 117 | Квант завершен, 4 осталось выполнить
[t=0273] #020 | Переключение    | Mem:  2 | CPU:  4 | Queue: 118 | Продолжено после ожидания=45
[t=0276] #020 | Вытеснено       | Mem:  2 | CPU:  1 | Queue: 118 | Квант завершен, 1 осталось выполнить
[t=0277] #012 | Переключение    | Mem:  8 | CPU:  4 | Queue: 182 | Продолжено после ожидания=45
[t=0280] #012 | Вытеснено       | Mem:  8 | CPU:  1 | Queue: 182 | Квант завершен, 1 осталось выполнить
[t=0281] #021 | Переключение    | Mem:  1 | CPU:  4 | Queue: 123 | Продолжено после ожидания=45
[t=0284] #021 | Вытеснено       | Mem:  1 | CPU:  1 | Queue: 123 | Квант завершен, 1 осталось выполнить
[t=0285] #022 | Переключение    | Mem: 10 | CPU: 11 | Queue: 124 | Продолжено после ожидания=41
[t=0288] #022 | Вытеснено       | Mem: 10 | CPU:  8 | Queue: 124 | Квант завершен, 8 осталось выполнить
[t=0289] #017 | Переключение    | Mem:  1 | CPU:  5 | Queue: 178 | Продолжено после ожидания=41
[t=0292] #017 | Вытеснено       | Mem:  1 | CPU:  2 | Queue: 178 | Квант завершен, 2 осталось выполнить
[t=0293] #018 | Переключение    | Mem:  3 | CPU:  1 | Queue: 179 | Продолжено после ожидания=41
[t=0294] #018 | Завершено       | Mem:  3 | CPU:  0 | Queue: 179 | Общее время в очереди=179, освобождено 3 памяти
[t=0295] #023 | Переключение    | Mem:  8 | CPU:  8 | Queue: 119 | Продолжено после ожидания=39
[t=0298] #023 | Вытеснено       | Mem:  8 | CPU:  5 | Queue: 119 | Квант завершен, 5 осталось выполнить
[t=0299] #025 | Переключение    | Mem: 15 | CPU:  7 | Queue:  85 | Продолжено после ожидания=39
[t=0302] #025 | Вытеснено       | Mem: 15 | CPU:  4 | Queue:  85 | Квант завершен, 4 осталось выполнить
[t=0303] #024 | Переключение    | Mem:  2 | CPU:  5 | Queue: 124 | Продолжено после ожидания=39
[t=0306] #024 | Вытеснено       | Mem:  2 | CPU:  2 | Queue: 124 | Квант завершен, 2 осталось выполнить
[t=0307] #009 | Переключение    | Mem:  1 | CPU:  1 | Queue: 229 | Продолжено после ожидания=39
[t=0308] #009 | Завершено       | Mem:  1 | CPU:  0 | Queue: 229 | Общее время в очереди=229, освобождено 1 памяти
[t=0309] #019 | Переключение    | Mem: 11 | CPU:  4 | Queue: 154 | Продолжено после ожидания=37
[t=0312] #019 | Вытеснено       | Mem: 11 | CPU:  1 | Queue: 154 | Квант завершен, 1 осталось выполнить
[t=0313] #020 | Переключение    | Mem:  2 | CPU:  1 | Queue: 155 | Продолжено после ожидания=37
[t=0314] #020 | Завершено       | Mem:  2 | CPU:  0 | Queue: 155 | Общее время в очереди=155, освобождено 2 памяти
[t=0315] #012 | Переключение    | Mem:  8 | CPU:  1 | Queue: 217 | Продолжено после ожидания=35
[t=0316] #012 | Завершено       | Mem:  8 | CPU:  0 | Queue: 217 | Общее время в очереди=217, освобождено 8 памяти
[t=0317] #021 | Переключение    | Mem:  1 | CPU:  1 | Queue: 156 | Продолжено после ожидания=33
[t=0318] #021 | Завершено       | Mem:  1 | CPU:  0 | Queue: 156 | Общее время в очереди=156, освобождено 1 памяти
[t=0319] #022 | Переключение    | Mem: 10 | CPU:  8 | Queue: 155 | Продолжено после ожидания=31
[t=0322] #022 | Вытеснено       | Mem: 10 | CPU:  5 | Queue: 155 | Квант завершен, 5 осталось выполнить
[t=0323] #017 | Переключение    | Mem:  1 | CPU:  2 | Queue: 209 | Продолжено после ожидания=31
[t=0325] #017 | Завершено       | Mem:  1 | CPU:  0 | Queue: 209 | Общее время в очереди=209, освобождено 1 памяти
[t=0326] #023 | Переключение    | Mem:  8 | CPU:  5 | Queue: 147 | Продолжено после ожидания=28
[t=0329] #023 | Вытеснено       | Mem:  8 | CPU:  2 | Queue: 147 | Квант завершен, 2 осталось выполнить
[t=0330] #025 | Переключение    | Mem: 15 | CPU:  4 | Queue: 113 | Продолжено после ожидания=28
[t=0333] #025 | Вытеснено       | Mem: 15 | CPU:  1 | Queue: 113 | Квант завершен, 1 осталось выполнить
[t=0334] #024 | Переключение    | Mem:  2 | CPU:  2 | Queue: 152 | Продолжено после ожидания=28
[t=0336] #024 | Завершено       | Mem:  2 | CPU:  0 | Queue: 152 | Общее время в очереди=152, освобождено 2 памяти
[t=0337] #019 | Переключение    | Mem: 11 | CPU:  1 | Queue: 179 | Продолжено после ожидания=25
[t=0338] #019 | Завершено       | Mem: 11 | CPU:  0 | Queue: 179 | Общее время в очереди=179, освобождено 11 памяти
[t=0339] #022 | Переключение    | Mem: 10 | CPU:  5 | Queue: 172 | Продолжено после ожидания=17
[t=0342] #022 | Вытеснено       | Mem: 10 | CPU:  2 | Queue: 172 | Квант завершен, 2 осталось выполнить
[t=0343] #023 | Переключение    | Mem:  8 | CPU:  2 | Queue: 161 | Продолжено после ожидания=14
[t=0345] #023 | Завершено       | Mem:  8 | CPU:  0 | Queue: 161 | Общее время в очереди=161, освобождено 8 памяти
[t=0346] #025 | Переключение    | Mem: 15 | CPU:  1 | Queue: 126 | Продолжено после ожидания=13
[t=0347] #025 | Завершено       | Mem: 15 | CPU:  0 | Queue: 126 | Общее время в очереди=126, освобождено 15 памяти
[t=0348] #022 | Переключение    | Mem: 10 | CPU:  2 | Queue: 178 | Продолжено после ожидания=6
[t=0350] #022 | Завершено       | Mem: 10 | CPU:  0 | Queue: 178 | Общее время в очереди=178, освобождено 10 памяти
